spend_bin,cum_provider_share,cum_spend_share
185,0.1850829171468818,0.00200854540244244
186,0.18608336534767575,0.0020322506257854415
187,0.1870838135484697,0.0020561186284709537
188,0.18808426174926368,0.00208014619336085
189,0.18908470995005763,0.002104326136821096
190,0.19008515815085159,0.002128649070301036
191,0.19108560635164554,0.0021531088851615707
192,0.1920860545524395,0.002177711968598882
193,0.19308650275323344,0.0022024673992198287
194,0.1940869509540274,0.0022273837691372113
195,0.19508739915482137,0.002252443066300862
196,0.19608784735561532,0.002277653388482845
197,0.19708829555640928,0.0023030204598350214
198,0.19808874375720323,0.002328531070474378
199,0.19908919195799718,0.0023541787547379485
200,0.20008964015879113,0.0023799760202310332
201,0.20109008835958508,0.0024059425895796827
202,0.20209053656037904,0.0024320721030510885
203,0.20309098476117302,0.0024583741571328806
204,0.20409143296196697,0.0024848316539129198
205,0.20509188116276092,0.0025114641355436533
206,0.20609232936355487,0.0025382708252039243
207,0.20709277756434882,0.0025652346799083414
208,0.20809322576514278,0.0025923724719318928
209,0.20909367396593673,0.002619707572606064
210,0.2100941221667307,0.002647186899151771
211,0.21109457036752466,0.002674846781689806
212,0.2120950185683186,0.0027026832694176162
213,0.21309546676911256,0.002730677451840362
214,0.21409591496990651,0.0027588342017453027
215,0.21509636317070047,0.0027871535897525434
216,0.21609681137149442,0.0028156612862703287
217,0.2170972595722884,0.0028443342416809856
218,0.21809770777308235,0.0028731524704947394
219,0.2190981559738763,0.0029021586861052245
220,0.22009860417467025,0.002931325448678228
221,0.2210990523754642,0.002960652008855967
222,0.22209950057625816,0.00299011310818081
223,0.2230999487770521,0.0030197389485177536
224,0.22410039697784606,0.0030495249984100457
225,0.22510084517864004,0.003079486645193944
226,0.226101293379434,0.0031096316139242915
227,0.22710174158022794,0.0031399599359878006
228,0.2281021897810219,0.0031704952573497
229,0.22910263798181585,0.003201203676436149
230,0.2301030861826098,0.0032320726974118647
231,0.23110353438340375,0.003263100472384094
232,0.23210398258419773,0.0032943222133219635
